YCord,XCord,Competitor
0.4171264740610744,0.31674683267491427,Kate
-0.3070581586246538,-0.8953259573637795,Kate
0.32364682864677796,-0.26715998342212827,Kate
0.9551325327591573,-0.05706390413848555,Bob
0.26956688614737784,-0.39587378707312026,Mark
-0.06930890577202697,0.15862408784346435,Mark
-0.21745457140603064,0.33110148105677284,Kate
-0.6274028319026851,0.5863260158303842,Sue
-0.6883907798585212,0.11641824171333132,Kate
-0.5155541663610425,-0.5073769730666711,Kate
-0.2487286363643101,0.9564688203237646,Bob
0.3396569393387547,-0.3129821650205983,Kate
-0.4744856549987638,-0.7128742320478519,Sue
-0.023381795458461845,0.7675998098741377,Sue
-0.14491146309680464,0.2674509740756451,Mark
0.2203952190853834,0.8835110322728569,Bob
0.8095269667068248,0.34276802639585646,Sue
0.40017642251208185,0.14152247384851574,Sue
0.17706005004092407,0.028290825868153888,Mark
0.23162229108383278,0.23930957755531612,Mark
0.8623567914397066,0.06968730425368486,Sue
0.2604456997732346,-0.1282117145116333,Mark
0.7927981247706811,-0.5138109809862618,Bob
0.694482019230711,0.28903339891887625,Sue
-0.6290880634695476,0.523187781820222,Sue
0.3895175514667086,-0.5951088592087257,Kate
-0.25969176727164334,0.3076002323938225,Kate
-0.20846121225204228,-0.3902937821758089,Kate
0.8080263467649634,0.6142262046477146,Bob
0.9319728123837896,0.3720763598916193,Bob
0.36220134786065517,-0.5855655056239054,Kate
-0.19600383511065092,-0.8695335088276047,Sue
-0.23620178534209108,-0.10794663013965433,Bob
0.37119431721016355,-0.6369049636714532,Kate
-0.3762137448428536,0.843127357355431,Bob
-0.25599373227524264,0.6470536877481493,Kate
0.3119706203570315,0.6658113297887001,Kate
-0.46809724970538436,0.6242921932666259,Sue
-0.5637891667378954,-0.787499476466867,Bob
0.44098148964317546,0.698191098473414,Sue
-0.17437388067535256,-0.4311084152450627,Mark
0.7958057535481111,-0.5811563327661219,Bob
0.3477067875086862,-0.7051884883439714,Sue
-0.8386528542648191,-0.17351128002587196,Sue
0.9413824981851507,-0.20739335732329423,Bob
0.3779099202546092,-0.0003394653184794587,Kate
